attribute_id,product_id,attribute_name,attribute_value
5,7637,Collection,Kodiak
20,7637,Subcategory,Kodiak - Footie Zippered One Piece
7,7637,Gender,Baby Boy
4,7637,Size,0-3 Months
3,7637,Season,Summer 2020
8,7637,Classification,OBSOLETE
6,7637,Launch Date,06-08-2020
19,7637,NRF Color Name,Gray
16,7637,NRF Color Code,N/A
59,7637,Department,Apparel
5,7638,Collection,Kodiak
20,7638,Subcategory,Kodiak - Footie Zippered One Piece
7,7638,Gender,Baby Boy
4,7638,Size,3-6 Months
3,7638,Season,Summer 2020
8,7638,Classification,OBSOLETE
6,7638,Launch Date,06-08-2020
19,7638,NRF Color Name,Gray
16,7638,NRF Color Code,N/A
59,7638,Department,Apparel
5,7639,Collection,Kodiak
3,11684,Season,Obsolete
20,7639,Subcategory,Kodiak - Footie Zippered One Piece
7,7639,Gender,Baby Boy
4,7639,Size,6-9 Months
3,7639,Season,Summer 2020
8,7639,Classification,OBSOLETE
6,7639,Launch Date,06-08-2020
19,7639,NRF Color Name,Gray
16,7639,NRF Color Code,N/A
59,7639,Department,Apparel
5,7640,Collection,Kodiak
20,7640,Subcategory,Kodiak - Footie Zippered One Piece
7,7640,Gender,Baby Boy
4,7640,Size,9-12 Months
6,7640,Launch Date,06-08-2020
19,7640,NRF Color Name,Gray
16,7640,NRF Color Code,N/A
3,7640,Season,Summer 2020
8,7640,Classification,OBSOLETE
16,7651,NRF Color Code,N/A
24,7640,Price Method,Full Price
59,7640,Department,Apparel
5,7641,Collection,Kodiak
20,7641,Subcategory,Kodiak - Footie Zippered One Piece
7,7641,Gender,Baby Boy
4,7641,Size,12-18 Months
3,7641,Season,Summer 2020
8,7641,Classification,OBSOLETE
6,7641,Launch Date,06-08-2020
19,7641,NRF Color Name,Gray
16,7641,NRF Color Code,N/A
59,7641,Department,Apparel
5,7642,Collection,Kodiak
20,7642,Subcategory,Romper
7,7642,Gender,Baby Boy
4,7642,Size,Newborn
16,7642,NRF Color Code,N/A
19,7642,NRF Color Name,N/A
3,7642,Season,Fall 2020
8,7642,Classification,OBSOLETE
24,7642,Price Method,Full Price
25,7642,NU Customer Groups,All
26,7642,Brand License,Posh Peanut
59,7642,Department,Apparel
60,7642,Prebook,FALSE
61,7642,Materials,Bamboo/Spandex(95/5)
5,7643,Collection,Kodiak
20,7643,Subcategory,Romper
7,7643,Gender,Baby Boy
4,7643,Size,0-3 Months
16,7643,NRF Color Code,N/A
19,7643,NRF Color Name,N/A
3,7643,Season,Fall 2020
8,7643,Classification,OBSOLETE
24,7643,Price Method,Full Price
25,7643,NU Customer Groups,All
26,7643,Brand License,Posh Peanut
59,7643,Department,Apparel
60,7643,Prebook,FALSE
61,7643,Materials,Bamboo/Spandex(95/5)
5,7644,Collection,Kodiak
20,7644,Subcategory,Kodiak - Short Sleeve Romper
7,7644,Gender,Baby Boy
4,7644,Size,3-6 Months
3,7644,Season,Summer 2020
8,7644,Classification,OBSOLETE
61,13325,Materials,Bamboo/Spandex(95/5)
5,42206,Collection,Frostine
20,42206,Subcategory,One Piece
7,42206,Gender,Baby Girl
6,7644,Launch Date,06-08-2020
19,7644,NRF Color Name,Gray
16,7644,NRF Color Code,N/A
59,7644,Department,Apparel
5,7645,Collection,Kodiak
20,7645,Subcategory,Kodiak - Short Sleeve Romper
7,7645,Gender,Baby Boy
4,7645,Size,6-9 Months
6,7645,Launch Date,06-08-2020
19,7645,NRF Color Name,Gray
16,7645,NRF Color Code,N/A
3,7645,Season,Summer 2020
8,7645,Classification,OBSOLETE
24,7645,Price Method,Full Price
59,7645,Department,Apparel
5,7646,Collection,Kodiak
20,7646,Subcategory,Kodiak - Short Sleeve Romper
7,7646,Gender,Baby Boy
4,7646,Size,9-12 Months
3,7646,Season,Summer 2020
8,7646,Classification,OBSOLETE
6,7646,Launch Date,06-08-2020
19,7646,NRF Color Name,Gray
16,7646,NRF Color Code,N/A
59,7646,Department,Apparel
5,7647,Collection,Kodiak
20,7647,Subcategory,Kodiak - Short Sleeve Romper
7,7647,Gender,Baby Boy
4,7647,Size,12-18 Months
3,7647,Season,Summer 2020
8,7647,Classification,OBSOLETE
6,7647,Launch Date,06-08-2020
19,7647,NRF Color Name,Gray
16,7647,NRF Color Code,N/A
59,7647,Department,Apparel
5,7648,Collection,Kodiak
20,7648,Subcategory,Kodiak - Short Sleeve Romper
7,7648,Gender,Baby Boy
4,7648,Size,18-24 Months
3,7648,Season,Summer 2020
8,7648,Classification,OBSOLETE
6,7648,Launch Date,06-08-2020
19,7648,NRF Color Name,Gray
16,7648,NRF Color Code,N/A
59,7648,Department,Apparel
5,7649,Collection,Kodiak
20,7649,Subcategory,Kodiak & Jensen - Patoo
7,7649,Gender,Baby Boy
4,42206,Size,Newborn
4,7649,Size,One Size
6,7649,Launch Date,06-08-2020
19,7649,NRF Color Name,Gray
16,7649,NRF Color Code,N/A
3,7649,Season,Summer 2020
8,7649,Classification,OBSOLETE
24,7649,Price Method,Full Price
59,7649,Department,Apparel
5,7650,Collection,Kodiak
20,7650,Subcategory,Kodiak & Jensen - Lovey
7,7650,Gender,Baby Boy
4,7650,Size,One Size
6,7650,Launch Date,06-08-2020
19,7650,NRF Color Name,Gray
16,7650,NRF Color Code,N/A
3,7650,Season,Summer 2020
8,7650,Classification,OBSOLETE
24,7650,Price Method,Full Price
59,7650,Department,Apparel
5,7651,Collection,Daniella
20,7651,Subcategory,Swaddle Sets
7,7651,Gender,Baby Girl
4,7651,Size,One Size
6,7651,Launch Date,29-09-2020
19,7651,NRF Color Name,N/A
3,7651,Season,Fall 2020
8,7651,Classification,OBSOLETE
24,7651,Price Method,Markdown
25,7651,NU Customer Groups,All
26,7651,Brand License,Posh Peanut
59,7651,Department,Apparel
60,7651,Prebook,FALSE
61,7651,Materials,Bamboo/Spandex(95/5)
5,7652,Collection,Daniella
20,7652,Subcategory,Accessories
7,7652,Gender,Baby Girl
4,7652,Size,0-3 Months
6,7652,Launch Date,29-09-2020
16,7652,NRF Color Code,N/A
19,7652,NRF Color Name,N/A
3,7652,Season,Fall 2020
8,7652,Classification,OBSOLETE
24,7652,Price Method,Markdown
25,7652,NU Customer Groups,All
26,7652,Brand License,Posh Peanut
59,7652,Department,Accessories
60,7652,Prebook,FALSE
61,7652,Materials,Bamboo/Spandex(95/5)
5,7653,Collection,Daniella
20,7653,Subcategory,Robe
7,7653,Gender,Women
4,7653,Size,Small (0-2)
6,7653,Launch Date,29-09-2020
16,7653,NRF Color Code,N/A
19,7653,NRF Color Name,N/A
3,7653,Season,Fall 2020
8,7653,Classification,OBSOLETE
24,7653,Price Method,Markdown
25,7653,NU Customer Groups,All
26,7653,Brand License,Posh Peanut
59,7653,Department,Apparel
60,7653,Prebook,FALSE
61,7653,Materials,Bamboo/Spandex(95/5)
5,7654,Collection,Daniella
20,7654,Subcategory,Robe
7,7654,Gender,Women
4,7654,Size,Medium (4-6)
6,7654,Launch Date,29-09-2020
16,7654,NRF Color Code,N/A
19,7654,NRF Color Name,N/A
3,7654,Season,Obsolete
8,7654,Classification,OBSOLETE
24,7654,Price Method,Markdown
25,7654,NU Customer Groups,All
26,7654,Brand License,Posh Peanut
59,7654,Department,Apparel
60,7654,Prebook,FALSE
61,7654,Materials,Bamboo/Spandex(95/5)
5,7655,Collection,Daniella
20,7655,Subcategory,Robe
7,7655,Gender,Women
4,7655,Size,Large (8-10)
6,7655,Launch Date,29-09-2020
16,7655,NRF Color Code,N/A
19,7655,NRF Color Name,N/A
3,7655,Season,Fall 2020
8,7655,Classification,OBSOLETE
24,7655,Price Method,Markdown
25,7655,NU Customer Groups,All
26,7655,Brand License,Posh Peanut
59,7655,Department,Apparel
60,7655,Prebook,FALSE
61,7655,Materials,Bamboo/Spandex(95/5)
5,7656,Collection,Daniella
20,7656,Subcategory,Robe
7,7656,Gender,Women
4,7656,Size,XL (12-14)
6,7656,Launch Date,29-09-2020
16,7656,NRF Color Code,N/A
19,7656,NRF Color Name,N/A
3,7656,Season,Fall 2020
8,7656,Classification,OBSOLETE
24,7656,Price Method,Markdown
25,7656,NU Customer Groups,All
26,7656,Brand License,Posh Peanut
59,7656,Department,Apparel
60,7656,Prebook,FALSE
61,7656,Materials,Bamboo/Spandex(95/5)
5,7658,Collection,Daniella
20,7658,Subcategory,Kimono Sets
7,7658,Gender,Baby Girl
4,7658,Size,0-3 Months
6,7658,Launch Date,29-09-2020
16,7658,NRF Color Code,N/A
19,7658,NRF Color Name,N/A
3,7658,Season,Obsolete
8,7658,Classification,OBSOLETE
24,7658,Price Method,Markdown
25,7658,NU Customer Groups,All
26,7658,Brand License,Posh Peanut
59,7658,Department,Apparel
60,7658,Prebook,FALSE
61,7658,Materials,Bamboo/Spandex(95/5)
5,7659,Collection,Daniella
20,7659,Subcategory,Gown
7,7659,Gender,Baby Girl
4,7659,Size,0-3 Months
6,7659,Launch Date,29-09-2020
16,7659,NRF Color Code,N/A
19,7659,NRF Color Name,N/A
3,7659,Season,Obsolete
8,7659,Classification,OBSOLETE
24,7659,Price Method,Markdown
25,7659,NU Customer Groups,All
26,7659,Brand License,Posh Peanut
59,7659,Department,Apparel
60,7659,Prebook,FALSE
61,7659,Materials,Bamboo/Spandex(95/5)
5,7660,Collection,Daniella
20,7660,Subcategory,Kid's Pajamas
7,7660,Gender,Girl
4,7660,Size,2 years
6,7660,Launch Date,29-09-2020
16,7660,NRF Color Code,N/A
19,7660,NRF Color Name,N/A
3,7660,Season,Spring 2021
8,7660,Classification,SEASONAL
24,7660,Price Method,Markdown
17,42206,Ship Date,01-10-2022
16,42206,NRF Color Code,499
19,42206,NRF Color Name,Open Blue
3,42206,Season,Holiday 2022
8,42206,Classification,SEASONAL
24,42206,Price Method,Full Price
25,42206,NU Customer Groups,All
25,7660,NU Customer Groups,All
26,7660,Brand License,Posh Peanut
59,7660,Department,Apparel
60,7660,Prebook,FALSE
61,7660,Materials,Bamboo/Spandex(95/5)
5,7661,Collection,Daniella
20,7661,Subcategory,Kid's Pajamas
26,42206,Brand License,Posh Peanut
7,7661,Gender,Girl
4,7661,Size,3 years
6,7661,Launch Date,29-09-2020
16,7661,NRF Color Code,N/A
19,7661,NRF Color Name,N/A
3,7661,Season,Spring 2021
8,7661,Classification,SEASONAL
24,7661,Price Method,Markdown
25,7661,NU Customer Groups,All
26,7661,Brand License,Posh Peanut
59,7661,Department,Apparel
60,7661,Prebook,FALSE
61,7661,Materials,Bamboo/Spandex(95/5)
5,7662,Collection,Daniella
20,7662,Subcategory,Kid's Pajamas
59,42206,Department,Apparel
60,42206,Prebook,FALSE
61,42206,Materials,Bamboo/Spandex(95/5)
5,53155,Collection,Pastel Barbie
20,53155,Subcategory,One Piece
7,53155,Gender,Baby Girl
4,53155,Size,Newborn
16,53155,NRF Color Code,682
19,53155,NRF Color Name,Light/Pastel Pink
7,7662,Gender,Girl
4,7662,Size,4 years
6,7662,Launch Date,29-09-2020
16,7662,NRF Color Code,N/A
19,7662,NRF Color Name,N/A
3,7662,Season,Spring 2021
8,7662,Classification,SEASONAL
24,7662,Price Method,Markdown
25,7662,NU Customer Groups,All
26,7662,Brand License,Posh Peanut
59,7662,Department,Apparel
60,7662,Prebook,FALSE
61,7662,Materials,Bamboo/Spandex(95/5)
5,7663,Collection,Daniella
20,7663,Subcategory,Kid's Pajamas
7,7663,Gender,Girl
4,7663,Size,5 years
6,7663,Launch Date,29-09-2020
16,7663,NRF Color Code,N/A
19,7663,NRF Color Name,N/A
3,7663,Season,Spring 2021
8,7663,Classification,SEASONAL
24,7663,Price Method,Markdown
25,7663,NU Customer Groups,All
26,7663,Brand License,Posh Peanut
59,7663,Department,Apparel
60,7663,Prebook,FALSE
61,7663,Materials,Bamboo/Spandex(95/5)
5,7664,Collection,Daniella
20,7664,Subcategory,Kid's Pajamas
7,7664,Gender,Girl
4,7664,Size,6 years
6,7664,Launch Date,29-09-2020
16,7664,NRF Color Code,N/A
19,7664,NRF Color Name,N/A
3,7664,Season,Spring 2021
8,7664,Classification,SEASONAL
24,7664,Price Method,Markdown
25,7664,NU Customer Groups,All
26,7664,Brand License,Posh Peanut
59,7664,Department,Apparel
60,7664,Prebook,FALSE
61,7664,Materials,Bamboo/Spandex(95/5)
5,7665,Collection,Daniella
20,7665,Subcategory,One Piece
7,7665,Gender,Baby Girl
4,7665,Size,Newborn
6,7665,Launch Date,29-09-2020
16,7665,NRF Color Code,N/A
19,7665,NRF Color Name,N/A
3,7665,Season,Fall 2020
8,7665,Classification,OBSOLETE
24,7665,Price Method,Markdown
25,7665,NU Customer Groups,All
26,7665,Brand License,Posh Peanut
59,7665,Department,Apparel
60,7665,Prebook,FALSE
61,7665,Materials,Bamboo/Spandex(95/5)
5,7666,Collection,Daniella
20,7666,Subcategory,One Piece
7,7666,Gender,Baby Girl
4,7666,Size,0-3 Months
6,7666,Launch Date,29-09-2020
16,7666,NRF Color Code,N/A
19,7666,NRF Color Name,N/A
3,7666,Season,Fall 2020
8,7666,Classification,OBSOLETE
24,7666,Price Method,Markdown
25,7666,NU Customer Groups,All
26,7666,Brand License,Posh Peanut
59,7666,Department,Apparel
60,7666,Prebook,FALSE
61,7666,Materials,Bamboo/Spandex(95/5)
5,7667,Collection,Daniella
20,7667,Subcategory,One Piece
7,7667,Gender,Baby Girl
4,7667,Size,3-6 Months
6,7667,Launch Date,29-09-2020
16,7667,NRF Color Code,N/A
19,7667,NRF Color Name,N/A
3,7667,Season,Fall 2020
8,7667,Classification,OBSOLETE
24,7667,Price Method,Markdown
25,7667,NU Customer Groups,All
26,7667,Brand License,Posh Peanut
59,7667,Department,Apparel
60,7667,Prebook,FALSE
61,7667,Materials,Bamboo/Spandex(95/5)
5,7668,Collection,Daniella
20,7668,Subcategory,One Piece
7,7668,Gender,Baby Girl
4,7668,Size,6-9 Months
6,7668,Launch Date,29-09-2020
16,7668,NRF Color Code,N/A
19,7668,NRF Color Name,N/A
3,7668,Season,Obsolete
8,7668,Classification,OBSOLETE
24,7668,Price Method,Markdown
25,7668,NU Customer Groups,All
26,7668,Brand License,Posh Peanut
59,7668,Department,Apparel
60,7668,Prebook,FALSE
61,7668,Materials,Bamboo/Spandex(95/5)
5,7669,Collection,Daniella
20,7669,Subcategory,One Piece
3,53155,Season,Spring 2023
8,53155,Classification,SEASONAL
5,11517,Collection,Buddy
20,11517,Subcategory,One Piece
7,11517,Gender,Baby Boy
4,11517,Size,12-18 Months
6,11517,Launch Date,20-11-2020
16,11517,NRF Color Code,357
19,11517,NRF Color Name,Open Green
3,11517,Season,Core
7,7669,Gender,Baby Girl
4,7669,Size,9-12 Months
6,7669,Launch Date,29-09-2020
16,7669,NRF Color Code,N/A
19,7669,NRF Color Name,N/A
3,7669,Season,Fall 2020
8,7669,Classification,OBSOLETE
24,53155,Price Method,Full Price
24,7669,Price Method,Markdown
25,7669,NU Customer Groups,All
26,7669,Brand License,Posh Peanut
59,7669,Department,Apparel
60,7669,Prebook,FALSE
61,7669,Materials,Bamboo/Spandex(95/5)
5,7670,Collection,Daniella
20,7670,Subcategory,One Piece
7,7670,Gender,Baby Girl
4,7670,Size,12-18 Months
6,7670,Launch Date,29-09-2020
16,7670,NRF Color Code,N/A
19,7670,NRF Color Name,N/A
3,7670,Season,Fall 2020
8,7670,Classification,OBSOLETE
24,7670,Price Method,Markdown
25,7670,NU Customer Groups,All
26,7670,Brand License,Posh Peanut
59,7670,Department,Apparel
60,7670,Prebook,FALSE
61,7670,Materials,Bamboo/Spandex(95/5)
5,7671,Collection,Daniella
20,7671,Subcategory,Romper
7,7671,Gender,Baby Girl
4,7671,Size,Newborn
6,7671,Launch Date,29-09-2020
16,7671,NRF Color Code,N/A
19,7671,NRF Color Name,N/A
3,7671,Season,Fall 2020
8,7671,Classification,OBSOLETE
24,7671,Price Method,Markdown
25,7671,NU Customer Groups,All
26,7671,Brand License,Posh Peanut
59,7671,Department,Apparel
60,7671,Prebook,FALSE
61,7671,Materials,Bamboo/Spandex(95/5)
5,7672,Collection,Daniella
20,7672,Subcategory,Romper
7,7672,Gender,Baby Girl
4,7672,Size,0-3 Months
6,7672,Launch Date,29-09-2020
16,7672,NRF Color Code,N/A
19,7672,NRF Color Name,N/A
3,7672,Season,Fall 2020
8,7672,Classification,OBSOLETE
24,7672,Price Method,Markdown
25,7672,NU Customer Groups,All
26,7672,Brand License,Posh Peanut
59,7672,Department,Apparel
60,7672,Prebook,FALSE
61,7672,Materials,Bamboo/Spandex(95/5)
5,7673,Collection,Daniella
20,7673,Subcategory,Romper
7,7673,Gender,Baby Girl
4,7673,Size,3-6 Months
6,7673,Launch Date,29-09-2020
16,7673,NRF Color Code,N/A
19,7673,NRF Color Name,N/A
3,7673,Season,Fall 2020
8,7673,Classification,OBSOLETE
24,7673,Price Method,Markdown
25,7673,NU Customer Groups,All
26,7673,Brand License,Posh Peanut
59,7673,Department,Apparel
60,7673,Prebook,FALSE
61,7673,Materials,Bamboo/Spandex(95/5)
5,7674,Collection,Daniella
20,7674,Subcategory,Romper
7,7674,Gender,Baby Girl
4,7674,Size,6-9 Months
6,7674,Launch Date,29-09-2020
16,7674,NRF Color Code,N/A
19,7674,NRF Color Name,N/A
3,7674,Season,Fall 2020
8,7674,Classification,OBSOLETE
24,7674,Price Method,Markdown
25,7674,NU Customer Groups,All
26,7674,Brand License,Posh Peanut
59,7674,Department,Apparel
60,7674,Prebook,FALSE
61,7674,Materials,Bamboo/Spandex(95/5)
5,7675,Collection,Daniella
20,7675,Subcategory,Romper
7,7675,Gender,Baby Girl
4,7675,Size,9-12 Months
6,7675,Launch Date,29-09-2020
16,7675,NRF Color Code,N/A
19,7675,NRF Color Name,N/A
3,7675,Season,Fall 2020
8,7675,Classification,OBSOLETE
24,7675,Price Method,Markdown
25,7675,NU Customer Groups,All
26,7675,Brand License,Posh Peanut
59,7675,Department,Apparel
60,7675,Prebook,FALSE
61,7675,Materials,Bamboo/Spandex(95/5)
5,7676,Collection,Daniella
20,7676,Subcategory,Romper
7,7676,Gender,Baby Girl
4,7676,Size,12-18 Months
6,7676,Launch Date,29-09-2020
16,7676,NRF Color Code,N/A
19,7676,NRF Color Name,N/A
3,7676,Season,Fall 2020
8,7676,Classification,OBSOLETE
24,7676,Price Method,Markdown
25,7676,NU Customer Groups,All
26,7676,Brand License,Posh Peanut
59,7676,Department,Apparel
60,7676,Prebook,FALSE
61,7676,Materials,Bamboo/Spandex(95/5)
5,7677,Collection,Daniella
20,7677,Subcategory,Romper
7,7677,Gender,Baby Girl
4,7677,Size,18-24 Months
6,7677,Launch Date,29-09-2020
16,7677,NRF Color Code,N/A
19,7677,NRF Color Name,N/A
3,7677,Season,Fall 2020
8,7677,Classification,OBSOLETE
24,7677,Price Method,Markdown
25,7677,NU Customer Groups,All
26,7677,Brand License,Posh Peanut
59,7677,Department,Apparel
60,7677,Prebook,FALSE
61,7677,Materials,Bamboo/Spandex(95/5)
5,7678,Collection,Daniella
20,7678,Subcategory,Bodysuit
7,7678,Gender,Baby Girl
4,7678,Size,0-3 Months
6,7678,Launch Date,29-09-2020
16,7678,NRF Color Code,N/A
19,7678,NRF Color Name,N/A
3,7678,Season,Spring 2021
8,7678,Classification,SEASONAL
24,7678,Price Method,Markdown
25,7678,NU Customer Groups,All
26,7678,Brand License,Posh Peanut
59,7678,Department,Apparel
60,7678,Prebook,FALSE
61,7678,Materials,Bamboo/Spandex(95/5)
5,7679,Collection,Daniella
20,7679,Subcategory,Bodysuit
7,7679,Gender,Baby Girl
4,7679,Size,3-6 Months
6,7679,Launch Date,29-09-2020
16,7679,NRF Color Code,N/A
19,7679,NRF Color Name,N/A
3,7679,Season,Spring 2021
8,7679,Classification,SEASONAL
24,7679,Price Method,Markdown
25,7679,NU Customer Groups,All
26,7679,Brand License,Posh Peanut
59,7679,Department,Apparel
60,7679,Prebook,FALSE
61,7679,Materials,Bamboo/Spandex(95/5)
5,7680,Collection,Daniella
20,7680,Subcategory,Bodysuit
7,7680,Gender,Baby Girl
4,7680,Size,6-12 Months
6,7680,Launch Date,29-09-2020
16,7680,NRF Color Code,N/A
19,7680,NRF Color Name,N/A
3,7680,Season,Spring 2021
8,7680,Classification,SEASONAL
24,7680,Price Method,Markdown
25,7680,NU Customer Groups,All
26,7680,Brand License,Posh Peanut
59,7680,Department,Apparel
60,7680,Prebook,FALSE
61,7680,Materials,Bamboo/Spandex(95/5)
5,7681,Collection,Daniella
20,7681,Subcategory,Bodysuit
7,7681,Gender,Baby Girl
4,7681,Size,12-18 Months
6,7681,Launch Date,29-09-2020
16,7681,NRF Color Code,N/A
19,7681,NRF Color Name,N/A
3,7681,Season,Spring 2021
8,7681,Classification,SEASONAL
24,7681,Price Method,Markdown
25,7681,NU Customer Groups,All
26,7681,Brand License,Posh Peanut
59,7681,Department,Apparel
60,7681,Prebook,FALSE
61,7681,Materials,Bamboo/Spandex(95/5)
5,7682,Collection,Daniella
20,7682,Subcategory,Crib Sheet
7,7682,Gender,Baby Girl
4,7682,Size,One Size
6,7682,Launch Date,29-09-2020
16,7682,NRF Color Code,N/A
19,7682,NRF Color Name,N/A
3,7682,Season,Spring 2021
8,7682,Classification,SEASONAL
24,7682,Price Method,Markdown
25,7682,NU Customer Groups,All
26,7682,Brand License,Posh Peanut
59,7682,Department,Apparel
60,7682,Prebook,FALSE
61,7682,Materials,Bamboo/Spandex(95/5)
5,7683,Collection,Daniella
20,7683,Subcategory,Pad Cover
7,7683,Gender,Baby Girl
4,7683,Size,One Size
6,7683,Launch Date,29-09-2020
16,7683,NRF Color Code,N/A
19,7683,NRF Color Name,N/A
3,7683,Season,Spring 2021
8,7683,Classification,SEASONAL
24,7683,Price Method,Markdown
25,7683,NU Customer Groups,All
26,7683,Brand License,Posh Peanut
59,7683,Department,Apparel
60,7683,Prebook,FALSE
61,7683,Materials,Bamboo/Spandex(95/5)
20,7684,Subcategory,Freight-In
16,7684,NRF Color Code,N/A
19,7684,NRF Color Name,N/A
5,7726,Collection,Country Rose
20,7726,Subcategory,Dress
7,7726,Gender,Girl
4,7726,Size,2 years
6,7726,Launch Date,05-07-2018
16,7726,NRF Color Code,494
19,7726,NRF Color Name,Open Blue
3,7726,Season,Core
8,7726,Classification,CORE
24,7726,Price Method,Full Price
25,7726,NU Customer Groups,All
26,7726,Brand License,Posh Peanut
59,7726,Department,Apparel
60,7726,Prebook,FALSE
61,7726,Materials,Bamboo/Spandex(95/5)
5,7727,Collection,Country Rose
20,7727,Subcategory,Dress
7,7727,Gender,Girl
4,7727,Size,3 years
6,7727,Launch Date,05-07-2018
16,7727,NRF Color Code,494
19,7727,NRF Color Name,Open Blue
3,7727,Season,Core
